ID,Commodity,Month/Year,Month,Year,Average Price,Month-on-Month,Year-on-Year,Lowest State,Lowest Price,Highest State,Highest Price
1019,"Gari white,sold loose",May-24,May,2024,1114.72,30.87,200.12,Gombe ,1613.29,Kwara ,825.7
1020,"Gari yellow,sold loose",May-24,May,2024,1184.35,30.18,194.91,Gombe ,1661.75,Nasarawa ,850
1021,"Groundnut oil: 1 bottle, specify bottle",May-24,May,2024,2351.91,5.38,76.79,Ekiti ,2928.74,Kebbi ,1795.96
1022,Iced Sardine,May-24,May,2024,3069.32,5.4,81.29,Abia ,4028.78,Zamfara ,2388.52
1023,Irish potato,May-24,May,2024,1595.07,12.84,172.62,Kogi ,2557.49,Borno ,1079.61
1024,Mackerel : frozen,May-24,May,2024,3404.62,5.57,100.72,Anambra ,5001.45,Jigawa ,2535.97
1025,Maize grain white sold loose,May-24,May,2024,950.16,19.13,170.84,Delta ,1226.48,Osun ,673.99
1026,Maize grain yellow sold loose,May-24,May,2024,957.98,19.97,166.46,Delta ,1248.38,Osun ,682.35
1027,Mudfish (aro) fresh,May-24,May,2024,3234.69,9.82,118.23,Akwa Ibom ,4426.57,Benue ,1902.36
1028,Mudfish : dried,May-24,May,2024,4225.06,7.56,83.63,Abia ,5832.66,Plateau ,2592.9
1029,Onion bulb,May-24,May,2024,1168.91,14.73,157.55,Akwa Ibom ,1951.85,Adamawa ,708.67
1030,"Palm oil: 1 bottle,specify bottle",May-24,May,2024,1683.03,3,51.74,Ondo ,2113.91,Niger ,1224.86
1031,Plantain(ripe),May-24,May,2024,1106.33,9.64,159.83,Edo ,1687.79,Plateau ,693.96
1032,Plantain(unripe),May-24,May,2024,1139.02,13.86,194.52,Sokoto ,1990.18,Plateau ,639.08
1033,Rice agric sold loose,May-24,May,2024,1613.56,8.44,151.98,Gombe ,2088.32,Benue ,1100.31
1034,Rice local sold loose,May-24,May,2024,1608.89,14.98,189.79,Kogi ,2528.84,Benue ,1013.59
1035,Rice Medium Grained,May-24,May,2024,1702.85,10.87,176.74,Kogi ,2729.39,Benue ,1300.95
1036,"Rice,imported high quality sold loose",May-24,May,2024,1984.88,12.04,150.3,Kwara ,2885.89,Enugu ,1659.79
1037,Sweet potato,May-24,May,2024,1062.3,31.58,257.26,Katsina ,6539.61,Kaduna ,441.3
1038,Tilapia fish (epiya) fresh,May-24,May,2024,3148.33,11.29,141.44,Ebonyi ,5121.21,Borno ,1576.39
1039,Titus:frozen,May-24,May,2024,3577.48,5.37,96.65,Imo ,4881.64,Taraba ,2700
1040,Tomato,May-24,May,2024,1479.69,31.71,196.92,Rivers ,2100.12,Katsina ,775.02
1041,"Vegetable oil:1 bottle,specify bottle",May-24,May,2024,2230.97,7.35,76.64,Ondo ,2945.76,Jigawa ,1846
1042,Wheat flour: prepacked (golden penny 2kg),May-24,May,2024,3001.59,16.65,128.2,Niger ,5316.05,Taraba ,1625
1043,Yam tuber,May-24,May,2024,1322.36,16.98,189.2,Niger ,2572.03,Borno ,797.29
